model,roc_auc_TSS+,roc_auc_TSS-,roc_auc_PolyA+,roc_auc_PolyA-,roc_auc_intragenic+,roc_auc_intragenic-
edge_caduceus_ph,0.77636957,0.77383256,0.73430181,0.73693627,,
edge_caduceus_ps,0.78420722,0.78628743,0.75163203,0.75831914,,
edge_gena_base_amt_plain,0.77210200,0.77201051,0.72348440,0.70173764,,
edge_gena_base_amt_unet,0.73393971,0.73785084,0.64854550,0.65106064,,
edge_gena_base_plain,0.75469130,0.76076943,0.66036177,0.66697687,,
edge_gena_base_rmt_unet,0.75877845,0.76313728,0.71055532,0.70197552,,
edge_gena_base_unet,0.74014902,0.74156898,0.65189159,0.65193939,,
edge_gena_large_amt_plain,0.75472486,0.75891083,0.69102287,0.68969917,,
edge_gena_large_amt_unet,0.66076374,0.66684419,0.56363231,0.56919974,,
edge_gena_large_plain,0.74470645,0.74797839,0.64804780,0.65512478,,
edge_gena_large_rmt_unet,0.76617652,0.77145791,0.72108918,0.71065629,,
edge_gena_large_unet,0.73603386,0.74166059,0.63767177,0.64686394,,
edge_moderngena_base_amt_plain,0.77707356,0.78935575,0.72247893,0.72658277,,
edge_moderngena_base_amt_unet,0.75769746,0.75670582,0.69213259,0.70075446,,
edge_moderngena_base_plain,0.79338455,0.79430890,0.74000305,0.74359292,,
edge_moderngena_base_rmt_unet,0.77381784,0.77495253,0.71521252,0.72447896,,
edge_moderngena_base_unet,0.75941604,0.76506680,0.70369768,0.71298701,,
edge_moderngena_large_amt_plain,0.78685582,0.78799891,0.73120964,0.72953933,,
edge_moderngena_large_amt_unet,0.73630321,0.73800725,0.64199853,0.64259368,,
edge_moderngena_large_plain,0.79696780,0.79080838,0.73141617,0.74539590,,
edge_moderngena_large_rmt_unet,0.77959031,0.77817357,0.71431422,0.72022659,,
edge_moderngena_large_unet,0.77096313,0.78106350,0.71772724,0.72057104,,
region_caduceus_ph,,,,,0.80226642,0.79783940
region_caduceus_ps,,,,,0.83296919,0.82568932
region_gena_base_amt_plain,,,,,0.69295257,0.67496192
region_gena_base_amt_unet,,,,,0.57505423,0.56563067
region_gena_base_plain,,,,,0.74548900,0.73629701
region_gena_base_rmt_unet,,,,,0.67615306,0.57325882
region_gena_base_unet,,,,,0.70663655,0.69723928
region_gena_large_amt_plain,,,,,0.57655078,0.53818339
region_gena_large_amt_unet,,,,,0.55354691,0.55958879
region_gena_large_plain,,,,,0.73030078,0.72673637
region_gena_large_rmt_unet,,,,,0.70415878,0.70908999
region_gena_large_unet,,,,,0.71405315,0.71801656
region_moderngena_base_amt_plain,,,,,0.77045536,0.74639797
region_moderngena_base_amt_unet,,,,,0.60884464,0.54329884
region_moderngena_base_plain,,,,,0.77894151,0.78560090
region_moderngena_base_rmt_unet,,,,,0.74673104,0.72468871
region_moderngena_base_unet,,,,,0.75368601,0.74905103
region_moderngena_large_amt_plain,,,,,0.56030488,0.54417104
region_moderngena_large_amt_unet,,,,,0.53364176,0.54081613
region_moderngena_large_plain,,,,,0.68197536,0.72146672
region_moderngena_large_rmt_unet,,,,,0.53539091,0.52978897
region_moderngena_large_unet,,,,,0.55530202,0.54252362
