model,roc_auc_TSS+,roc_auc_TSS-,roc_auc_PolyA+,roc_auc_PolyA-,roc_auc_intragenic+,roc_auc_intragenic-
edge_caduceus_ph,0.81395775,0.81285805,0.78696930,0.79492587,,
edge_caduceus_ps,0.81362689,0.81282538,0.79818177,0.79848176,,
edge_gena_base_amt_plain,0.77279031,0.77466387,0.70279270,0.69004428,,
edge_gena_base_amt_unet,0.75039274,0.75499934,0.66567361,0.65719581,,
edge_gena_base_plain,0.76103753,0.76538289,0.66206855,0.66792893,,
edge_gena_base_rmt_unet,0.77379346,0.78246647,0.72147226,0.70870638,,
edge_gena_base_unet,0.75170052,0.75386447,0.64840472,0.64849931,,
edge_gena_large_amt_plain,0.78355247,0.78788471,0.74491537,0.71623260,,
edge_gena_large_amt_unet,0.67220837,0.67730790,0.56600618,0.56925207,,
edge_gena_large_plain,0.76295358,0.75699401,0.66835058,0.66736239,,
edge_gena_large_rmt_unet,0.75678062,0.75725514,0.67083752,0.66598332,,
edge_gena_large_unet,0.74255157,0.74488866,0.63397259,0.63620996,,
edge_moderngena_base_amt_plain,0.79850751,0.79783946,0.75721490,0.74781328,,
edge_moderngena_base_amt_unet,0.79855442,0.79607528,0.76431507,0.74721384,,
edge_moderngena_base_plain,0.80546236,0.80811721,0.76775873,0.76717514,,
edge_moderngena_base_rmt_unet,0.78720397,0.78265506,0.74081856,0.72339284,,
edge_moderngena_base_unet,0.76999348,0.77467215,0.71104813,0.70287442,,
edge_moderngena_large_amt_plain,0.80054033,0.80689192,0.76953501,0.75465393,,
edge_moderngena_large_amt_unet,0.70328802,0.70798624,0.62027758,0.61718255,,
edge_moderngena_large_plain,0.80791426,0.81315595,0.77724624,0.77664000,,
edge_moderngena_large_rmt_unet,0.79740775,0.79789335,0.75173277,0.74568915,,
edge_moderngena_large_unet,0.79230124,0.80160570,0.75251466,0.75535011,,
region_caduceus_ph,,,,,0.81770170,0.81443179
region_caduceus_ps,,,,,0.83965641,0.83329290
region_gena_base_amt_plain,,,,,0.78477532,0.77227086
region_gena_base_amt_unet,,,,,0.71197701,0.67665374
region_gena_base_plain,,,,,0.74303550,0.73911315
region_gena_base_rmt_unet,,,,,0.78873020,0.78035480
region_gena_base_unet,,,,,0.71791452,0.69476128
region_gena_large_amt_plain,,,,,0.76852185,0.75728840
region_gena_large_amt_unet,,,,,0.56983548,0.57148290
region_gena_large_plain,,,,,0.72979677,0.72753775
region_gena_large_rmt_unet,,,,,0.77488637,0.77050835
region_gena_large_unet,,,,,0.71718812,0.70422131
region_moderngena_base_amt_plain,,,,,0.78699416,0.78224981
region_moderngena_base_amt_unet,,,,,0.72500247,0.71724391
region_moderngena_base_plain,,,,,0.81327879,0.81030953
region_moderngena_base_rmt_unet,,,,,0.78842944,0.78472400
region_moderngena_base_unet,,,,,0.78100359,0.77840364
region_moderngena_large_amt_plain,,,,,0.76960516,0.75508320
region_moderngena_large_amt_unet,,,,,0.60419023,0.59687006
region_moderngena_large_plain,,,,,0.78677654,0.77587020
region_moderngena_large_rmt_unet,,,,,0.59449953,0.59281248
region_moderngena_large_unet,,,,,0.75841695,0.75630593
