model,roc_auc_TSS+,roc_auc_TSS-,roc_auc_PolyA+,roc_auc_PolyA-,roc_auc_intragenic+,roc_auc_intragenic-
edge_caduceus_ph,0.79860759,0.80429786,0.75646913,0.75450683,,
edge_caduceus_ps,0.81214607,0.81272298,0.76184577,0.76295716,,
edge_gena_base_amt_plain,0.75970894,0.76877570,0.67048186,0.67366707,,
edge_gena_base_amt_unet,0.74874872,0.75457042,0.65153497,0.65150666,,
edge_gena_base_plain,0.76103753,0.76538289,0.66206855,0.66792893,,
edge_gena_base_rmt_unet,0.75376600,0.75981355,0.66090137,0.66078931,,
edge_gena_base_unet,0.75170052,0.75386447,0.64840472,0.64849931,,
edge_gena_large_amt_plain,0.76823056,0.76851416,0.69298309,0.68123680,,
edge_gena_large_amt_unet,0.73745030,0.74302924,0.63698357,0.63754869,,
edge_gena_large_plain,0.76295358,0.75699401,0.66835058,0.66736239,,
edge_gena_large_rmt_unet,0.74980778,0.75276631,0.65007478,0.64938867,,
edge_gena_large_unet,0.74255157,0.74488866,0.63397259,0.63620996,,
edge_moderngena_base_amt_plain,0.77153945,0.78924465,0.70113796,0.71281940,,
edge_moderngena_base_amt_unet,0.75566244,0.76199156,0.64994287,0.65124834,,
edge_moderngena_base_plain,0.78106952,0.78526908,0.71053213,0.71783715,,
edge_moderngena_base_rmt_unet,0.76841706,0.78121001,0.70698375,0.71454275,,
edge_moderngena_base_unet,0.75564802,0.76906759,0.67859381,0.69272482,,
edge_moderngena_large_amt_plain,0.77575916,0.77938092,0.71886766,0.71401238,,
edge_moderngena_large_amt_unet,0.74059898,0.74648911,0.64272982,0.64697355,,
edge_moderngena_large_plain,0.79519403,0.80031836,0.73064172,0.73062748,,
edge_moderngena_large_rmt_unet,0.72174627,0.73031402,0.60959834,0.61529148,,
edge_moderngena_large_unet,0.74693424,0.74988258,0.64226699,0.65159583,,
region_caduceus_ph,,,,,0.77743495,0.78038430
region_caduceus_ps,,,,,0.80092585,0.79667956
region_gena_base_amt_plain,,,,,0.73635125,0.74082839
region_gena_base_amt_unet,,,,,0.73844945,0.73322642
region_gena_base_plain,,,,,0.74303550,0.73911315
region_gena_base_rmt_unet,,,,,0.74091363,0.73961616
region_gena_base_unet,,,,,0.71791452,0.69476128
region_gena_large_amt_plain,,,,,0.73664761,0.73743814
region_gena_large_amt_unet,,,,,0.71691698,0.70154470
region_gena_large_plain,,,,,0.72979677,0.72753775
region_gena_large_rmt_unet,,,,,0.73536581,0.73458469
region_gena_large_unet,,,,,0.71718812,0.70422131
region_moderngena_base_amt_plain,,,,,0.75613928,0.75844735
region_moderngena_base_amt_unet,,,,,0.73924196,0.73917669
region_moderngena_base_plain,,,,,0.75185835,0.75316983
region_moderngena_base_rmt_unet,,,,,0.73437452,0.72618312
region_moderngena_base_unet,,,,,0.73750418,0.72899771
region_moderngena_large_amt_plain,,,,,0.73462319,0.74578005
region_moderngena_large_amt_unet,,,,,0.55384052,0.55193383
region_moderngena_large_plain,,,,,0.73851275,0.73997611
region_moderngena_large_rmt_unet,,,,,0.54381585,0.55232739
region_moderngena_large_unet,,,,,0.57332546,0.54941958
