task	config	all_job_ids	last_job_id	last_job_status	last_job_failure_reason	last_job_elapsed	last_job_exit_code	last_job_start	last_job_end	last_job_file	last_submitted_at	status_checked_at
finding	finding/configs/edge_caduceus_ph.json	102402	102402	FAILED	torchrun child process failed	00:37:19	1:0	2026-07-17T17:14:47	2026-07-17T17:52:06	finding/jobs/job_edge_caduceus_ph_shared.sh	2026-07-17T11:24:22+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/edge_caduceus_ps.json	102403	102403	FAILED	torchrun child process failed	00:01:33	1:0	2026-07-17T11:36:30	2026-07-17T11:38:03	finding/jobs/job_edge_caduceus_ps_shared.sh	2026-07-17T11:24:22+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/edge_gena_base_amt_plain.json	102404,102699	102699	FAILED	sequence length 528 exceeds 512 positional limit	00:01:32	1:0	2026-07-17T20:23:58	2026-07-17T20:58:12+03:00	finding/jobs/job_edge_gena_base_amt_plain_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/edge_gena_base_amt_unet.json	102405,102700	102700	FAILED	sequence length 528 exceeds 512 positional limit	00:01:33	1:0	2026-07-17T20:23:59	2026-07-17T20:58:12+03:00	finding/jobs/job_edge_gena_base_amt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/edge_gena_base_plain.json	102406,102701	102701	RUNNING		00:11:23	0:0	Unknown	2026-07-17T20:58:12+03:00	finding/jobs/job_edge_gena_base_plain_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/edge_gena_base_rmt_unet.json	102407,102702	102702	RUNNING		00:11:50	0:0	Unknown	2026-07-17T20:58:12+03:00	finding/jobs/job_edge_gena_base_rmt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/edge_gena_base_unet.json	102408,102703	102703	RUNNING		00:34:44	0:0	Unknown	2026-07-17T20:58:12+03:00	finding/jobs/job_edge_gena_base_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/edge_gena_large_amt_plain.json	102409,102704	102704	FAILED	sequence length 528 exceeds 512 positional limit	00:01:30	1:0	2026-07-17T20:24:58	2026-07-17T20:58:12+03:00	finding/jobs/job_edge_gena_large_amt_plain_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/edge_gena_large_amt_unet.json	102410,102705	102705	FAILED	sequence length 528 exceeds 512 positional limit	00:01:35	1:0	2026-07-17T20:25:03	2026-07-17T20:58:12+03:00	finding/jobs/job_edge_gena_large_amt_unet_shared.sh	2026-07-17T20:21:37+03:00	2026-07-17T20:58:12+03:00
finding	finding/configs/edge_gena_large_plain.json	102411	102411	FAILED	torchrun child process failed	00:00:59	1:0	2026-07-17T13:49:31	2026-07-17T13:50:30	finding/jobs/job_edge_gena_large_plain_shared.sh	2026-07-17T11:24:22+03:00	2026-07-17T20:58:12+03:00
