root	experiment_dir	run_dir	configs	run_status	trainer_state	global_step	latest_checkpoint	latest_checkpoint_step	latest_checkpoint_mtime	best_model_checkpoint	best_metric	tensorboard_event_files	inventory_generated_at
runs	runs/segmentation_caduceus_ps_middle_loss	runs/segmentation_caduceus_ps_middle_loss/20260727_203217_975511	segmentation/configs/caduceus_ps_middle_loss.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_caduceus_ps_middle_loss/20260727_203217_975511/checkpoint-70000/trainer_state.json	70000	runs/segmentation_caduceus_ps_middle_loss/20260727_203217_975511/checkpoint-70000	70000	2026-07-28T10:47:34	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_caduceus_ps_middle_loss/20260727_203217_975511/checkpoint-66000	0.3970629240635747	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_caduceus_ps_middle_loss	runs/segmentation_caduceus_ps_middle_loss/20260728_110224_763525	segmentation/configs/caduceus_ps_middle_loss.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_caduceus_ps_middle_loss/20260728_110224_763525/checkpoint-127000/trainer_state.json	127000	runs/segmentation_caduceus_ps_middle_loss/20260728_110224_763525/checkpoint-127000	127000	2026-07-29T12:37:28	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_caduceus_ps_middle_loss/20260728_110224_763525/checkpoint-127000	0.44823286939263635	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_caduceus_ps_middle_loss	runs/segmentation_caduceus_ps_middle_loss/20260729_125207_881990	segmentation/configs/caduceus_ps_middle_loss.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_caduceus_ps_middle_loss/20260729_125207_881990/checkpoint-6000/trainer_state.json	6000	runs/segmentation_caduceus_ps_middle_loss/20260729_125207_881990/checkpoint-6000	6000	2026-07-29T14:16:14	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_caduceus_ps_middle_loss/20260729_125207_881990/checkpoint-6000	0.022819326404239837	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260731_222332_185532	segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt500000.json,segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt512000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER			runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260731_222332_185532/checkpoint-500001	500001	2026-08-01T00:24:41			1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260801_142608_093607	segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt500000.json,segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt512000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER			runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260801_142608_093607/checkpoint-501000	501000	2026-08-01T15:48:00			1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260801_202825_105344	segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt500000.json,segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt512000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260801_202825_105344/checkpoint-512000/trainer_state.json	512000	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260801_202825_105344/checkpoint-512000	512000	2026-08-02T12:45:49	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260801_202825_105344/checkpoint-512000	0.608449394509373	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260802_144952_885519	segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt500000.json,segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt512000.json	TENSORBOARD_ONLY_OR_NO_CHECKPOINT								1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260802_152110_547981	segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt500000.json,segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt512000.json	TENSORBOARD_ONLY_OR_NO_CHECKPOINT								1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260802_214904_102603	segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt500000.json,segmentation/configs/caduceus_ps_middle_loss_multispecies_250k_resume_ckpt512000.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260802_214904_102603/checkpoint-525000/trainer_state.json	525000	runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260802_214904_102603/checkpoint-525000	525000	2026-08-03T15:20:47	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_caduceus_ps_middle_loss_multispecies_250k/resume_ckpt500000_multispecies_250k_20260802_214904_102603/checkpoint-521000	0.6297475254000785	1	2026-08-03T15:50:38+03:00
runs	runs/segmentation_gena_base_amt_unet	runs/segmentation_gena_base_amt_unet/20260727_203218_345772	segmentation/configs/gena_base_amt_unet.json	HAS_CHECKPOINTS_NO_COMPLETION_MARKER	runs/segmentation_gena_base_amt_unet/20260727_203218_345772/checkpoint-25000/trainer_state.json	25000	runs/segmentation_gena_base_amt_unet/20260727_203218_345772/checkpoint-25000	25000	2026-07-28T10:32:12	/external/nfs/01-home/vsefishman/DNALM/GENATATOR/runs/segmentation_gena_base_amt_unet/20260727_203218_345772/checkpoint-25000	0.3589784263959391	1	2026-08-03T15:50:38+03:00
